Tributary	ReachName	ReachID	Crew	Survey	Fishing	Visibility	Weather	Comments	Date	Season	Year	CohoIndividuals	SteelheadIndividuals	ChinookIndividuals	SalmonidSpIndividuals	CohoRedds	SteelheadRedds	ChinookRedds	SalmonidSpRedds
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	AN SW	SS		99	CLEAR SUNNY		3/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	SW BW	SS		99	CLEAR SUNNY	No fish No redds	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	AN RH	SS		99	PARTLY CLOUDY	"No live fish, no new redds"	3/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	"JB,ZS,CR"	SS		99	CLEAR SUNNY		3/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	DD VA	SS		99	CLEAR SUNNY	NO NEW REDDS	3/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	MW BW LC	SS		99	CLEAR SUNNY		1/29/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	JB SW	SS		99	CLEAR SUNNY	NO FISH NO NEW REDDS	2/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	EM ZR	SS		99	PARTLY CLOUDY	"NOT CONNECTED BELOW BRIDGE at multiple spots, old unflagged chinook redds seen"	2/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	HF DD	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 1	RR-DUT-000.00:004.81	JB BW	SS		99	CLEAR SUNNY	"MANY MINI DAMNS, MAN MADE"	2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	DD LC	SS		99	CLEAR SUNNY	"STAFF=0.31 AT 11:04 No fish, No Reds"	2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 9	RR-329-000.00:000.67	JB MW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	AB SN	SS		99	OVERCAST	NO FISH NO REDDS. STILL CONNECTED AT MOUTH	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	AB SN	SS		99	OVERCAST	NO FISH NO REDDS	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	WB BW TB	SS		99	OVERCAST	NO NEW FISH OR REDDS	2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	JB ZR LC ZS	SS		99	OVERCAST	"No new fish, No New Redds, Lots of algae"	2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	HF EM	SS		99	OVERCAST		2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	BCB AB	SS		0.9	CLEAR SUNNY	NO FISH NO NEW REDDS	2/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	CT SW	SS		99	OVERCAST		2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	LC HF AJ	SS		99	OVERCAST	NO FISH	2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	LC AJ HF	SS		99	OVERCAST		2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	JB BW ZS	SS		99	CLEAR SUNNY	Sun came out half way through survey	2/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	HF SW	SS		99	OVERCAST		2/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	AB ZR LC	SS		1.5	OVERCAST	STAFF 3.0 @13:41 RESET S	2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	HF BW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	BW DD	SS		99	PARTLY CLOUDY	"1.63 AT 9:37, No Fish No Redds"	2/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 1	RR-DUT-000.00:004.81	HF EM	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 9	RR-329-000.00:000.67	BW SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	AN SW	SS		99	CLEAR SUNNY	NO LIVE FISH AND 2 NEW REDDS	2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	AN SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/28/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	JB HF	SS		99	CLEAR SUNNY		1/29/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	WB SW TB	SS		-9999	CLEAR SUNNY		2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 8	RR-SAN-025.32:028.22	JB MW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 4	RR-WIL-006.15:009.16	"SW,DD?"	SS		99	PARTLY CLOUDY	possible old coho redd 100 feet downstream of waterfall but above multiple LWD barriers	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	NB SW	SS		1.5	CLEAR SUNNY		2/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	DD AN	SS		2	OVERCAST	No fish	2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	AJ DD	SS		99	OVERCAST	"Possible old Digging/redd at top of reach, No fish or Redds"	2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	HF IV ZR	SS		99	OVERCAST	NO SALMONID/SUCKERS PRESENT	2/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	AN SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	AN SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 2	RR-DUT-004.81:009.04	AN AJ	SS		99	CLEAR SUNNY	No live fish or new redds	2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	HF MW	SS		99	CLEAR SUNNY		2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	SW BW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	JB DD	SS		99	CLEAR SUNNY	Check if all reach data issues are handled	2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	JB BW	SS		99	CLEAR SUNNY	"LOA ISSUES, skipped small part"	2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	HF SW	SS		99	CLEAR SUNNY	NO FISH 	2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	AN SW	SS		99	PARTLY CLOUDY	No live fish or new redds	3/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	MW DD ZS	SS		99	CLEAR SUNNY		3/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	AN SW	SS		99	CLEAR SUNNY	Lots of algae.	3/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	MW DD ZS	SS		99	CLEAR SUNNY		3/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	BB DD TB	SS		99	CLEAR SUNNY	2 NEW REDDS NO FISH	3/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	SW DD	SS		99	CLEAR SUNNY		3/11/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	BB AB	SS		99	OVERCAST	"DRY AT MOUTH, downstream of felta bridge"	3/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	JB BW TB	SS		99	CLEAR SUNNY		3/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	BB DD TB	SS		99	CLEAR SUNNY	"1 NEW REDD NO FISH, YLF OBS."	3/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	AN SW	SS		99	OVERCAST	NO NEW FISH NO REDDS. MAA4021815002 tailspill out of water. Saw two Western pond turtles.	3/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	MW DD	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/10/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	AN SW	SS		99	CLEAR SUNNY		3/10/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	JB IV	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	JB IV	SS		99	CLEAR SUNNY	RAN OUT OF FLAGGING SO SOME REDDS HAVE ONLY GPS POINT AND SOME ARE WRITTEN ON THE BACK OF OLD RED FLAGGING. WROTE ON WHITE BOARD.	3/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	DD SW	SS		99	OVERCAST	"No fish, no redds. No temps taken bc broken thermometer"	3/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	AN SW	SS		99	CLEAR SUNNY		3/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	AB JB	SS		99	CLEAR SUNNY	"DID NOT HAVE ALLEGRO, USED NOTEBOOK AND ENTERED DATA IN ALLEGRO IN OFFICE"	3/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	AN BB	SS		99	CLEAR SUNNY	No live fish	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	SW BW	SS		99	CLEAR SUNNY	No fish No redds	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	RH DD	SS		99	CLEAR SUNNY	No fish no redds	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	AN RH	SS		99	CLEAR SUNNY		3/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	JE DD	SS		99	PARTLY CLOUDY		3/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	SW AN	SS		99	CLEAR SUNNY	No Fish No Redds	3/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	DD SW	SS		99	CLEAR SUNNY	"No fish No Redds, broken thermometer, no temps taken"	3/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	WB VA	SS		99	CLEAR SUNNY	LOTS OF YOY AND ALGAE 	3/31/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	ZR VA	SS		99	CLEAR SUNNY	no new fish or redds	4/1/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	AN VA	SS		99	CLEAR SUNNY	"No new redds, or live fish"	4/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	VA AN	SS		99	OVERCAST	NO LIVE FISH. RENTER FROM 6861 WANTS TO BE NOTIFIED WEEK OF SURVEYS	4/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	DD SW	SS		99	PARTLY CLOUDY	"No redds, No fish"	4/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	SW DD	SS		99	CLEAR SUNNY	No fish No redds	4/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	BW LP	SS		-9999	CLEAR SUNNY		3/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	DD VA	SS		99	CLEAR SUNNY	MOUTH IMPASSABLE	3/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	BW AJ	SS		99	CLEAR SUNNY	"No Fish, No new redds"	3/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	SW DD	SS		99	CLEAR SUNNY	"No fish No Redds, broken thermometer, no temps taken"	3/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	VA AN	SS		99	PARTLY CLOUDY	NO LIVE FISH/NO NEW REDDS/PICTURES TAKEN OF MOUTH BARELY CONNECTED	3/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	WB VA	SS		99	CLEAR SUNNY	NO FISH OR REDDS/LOTS OF YOY AND ALGAE	3/31/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	VA ZR	SS		99	PARTLY CLOUDY		4/1/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	AN SW	SS		99	CLEAR SUNNY	"No new redds, no live fish"	4/1/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	SW TB	SS		99	CLEAR SUNNY	"Flag missing, rehung flag, No fish No redds"	4/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	DD SW	SS		99	OVERCAST	"One new redd, no fish"	4/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	AN JE	SS		99	PARTLY CLOUDY	"STAFF 1.52. No live fish, no new redds"	4/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	AN VA	SS		99	OVERCAST	"LAST SURVEY OF SEASON. NO NEW REDDS. MIL2012115001 FLAG FADED IN FIELD, ENTERED ONCE WE GOT BACK TO OFFICE (LAST REDD RECORD)."	4/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	ZS SW	SS		99	CLEAR SUNNY	No fish No redds	4/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	AN RH	SS		99	CLEAR SUNNY	No live fish or new redds. Scary dogs on river right towards middle to end of reach. Came down to creek and were threatening. Contact landowner?	4/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
AUSTIN CREEK	AUS 6	RR-AUS-012.13:015.94	ZR SW LP	SS	1	99	STEADY RAIN	NO FISH NO REDDS	12/9/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 4	RR-WIL-006.15:009.16	WB AJ TC	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/14/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
SCHOOLHOUSE CREEK	GIL 1	RR-SCH-000.00:001.00	SL DD	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 1	RR-MIL-000.00:002.46	WB TC AI	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WALLACE CREEK	WAL 2	RR-WAL-001.83:004.43	SL DD	SS	1	99	CLEAR SUNNY	PHOTO TAKEN OF POSS REDD	12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRAY CREEK	GRA 1	RR-GRA-000.00:001.80	ZR NB	SS	1	99	OVERCAST	Fish skin seen below redd.  Smaller in size. Adipose fin intact. Silver in color. Salmonid. 	12/17/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRAY CREEK	GRA 2	RR-GRA-001.80:003.88	TC DD	SS	1	99	OVERCAST		12/17/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PENA CREEK	PEN 1	RR-PEN-000.00:004.05	AB JP NB JD	SS	1	99	STEADY RAIN		12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	LC AB JB	SS		0.9	CLEAR SUNNY		2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	AN SW	SS		99	PARTLY CLOUDY	No live fish or new redds	3/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	BB DD	SS		99	CLEAR SUNNY	STAFF:2.7FT AT 10:30	3/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	BB DD	SS		99	CLEAR SUNNY		3/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	JB EM ZS	SS		99	CLEAR SUNNY		3/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	JB DD	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	3/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	MW DD	SS		99	OVERCAST	No Fish  	3/10/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	SW DD	SS		99	OVERCAST		3/11/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	DD BB	SS		99	CLEAR SUNNY	More carcasses from WSH were planted in this reach	3/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	AN SW	SS		99	CLEAR SUNNY		3/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	AJ JB	SS		99	CLEAR SUNNY	"NO THERMOMETER, No Allegro, Transcribed from data sheet"	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	RH DD	SS		99	CLEAR SUNNY	Forgot to measure Redd and thalweg measurements	3/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	BW DD	SS		99	OVERCAST		3/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	AN SW	SS		99	CLEAR SUNNY		3/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	AN SW	SS		99	OVERCAST	No fish No Redds	3/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	JB BW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	JB BW	SS		99	CLEAR SUNNY	NO FISH NO NEW REDDS	3/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	AJ DD	SS		99	CLEAR SUNNY		3/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	JE DD	SS		99	CLEAR SUNNY	NO FISH NO REDDS	4/1/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	JB ZS	SS		99	CLEAR SUNNY	"No fish, no new redds"	4/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	JB ZS	SS		99	CLEAR SUNNY	"No fish, no new redds"	4/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	DD SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	4/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	SW DD	SS		99	CLEAR SUNNY		4/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	WB RH	SS		99	CLEAR SUNNY	NO FISH OR NEW REDDS	4/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	VA HF	SS		99	PARTLY CLOUDY	"LAST SURVEY OF SEASON. NO NEW REDDS/NO LIVE FISH. UNABLE TO VIEW MULTIPLE GPS POINTS WHEN THEY WERE ASSOCIATED WITH THE SAME RIVER KILOMETER MARKER, DISCUSSED ISSUE WITH ANDREW."	4/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	JB JP	SS		99	CLEAR SUNNY	The redds in Willow4 from 2/23/15 were all age 3. this was the survey with Joe Pechrich	3/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	BB DD	SS		99	CLEAR SUNNY	Coho carcasses from WSH were planted in the stream at the top of the reach 	3/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	AN SW	SS		99	CLEAR SUNNY	No Fish No Redds	3/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	LP DD	SS		99	CLEAR SUNNY		3/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	BW DD	SS		99	OVERCAST	NO FISH NO REDDS	3/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	JB DD	SS		99	CLEAR SUNNY		3/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 1	RR-POR-000.00:002.43	WB SW	SS		99	PARTLY CLOUDY	"MOUTH CUT OFF, Dry for approx 200 meters. Upstream pools have lots of coho and steelhead smolts. "	3/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	WB SW	SS		99	PARTLY CLOUDY	No fish no redds	3/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	JB BW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	AN SW	SS		99	CLEAR SUNNY		3/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	AN VA	SS		99	CLEAR SUNNY		3/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	DD CM	SS		99	CLEAR SUNNY	"THERMOMETER BROKEN, a couple old redds observed throughout the reach- not recorded in the survey data "	3/31/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	AB JE	SS		99	WINDY	NO FISH NO REDDS	3/31/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	SW TB	SS		99	CLEAR SUNNY	"Flag missing, rehung flag, No fish No redds"	4/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	JB ZS	SS		99	CLEAR SUNNY	NO FISH NO REDDS	4/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
