Tributary,ReachName,ReachID,Crew,Survey,Year,Fishing,Visibility,Weather,Comments,Season,Date
Willow Creek,WIL 4,RR-WIL-006.15:009.16,JB AN,SS,2015,,99,CLEAR SUNNY,NO FISH,2014-2015,2015-02-23
Austin Creek,AUS 5,RR-AUS-009.86:012.13,AN LC SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-05
Austin Creek,AUS 6,RR-AUS-012.13:015.94,JB EM ZS,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-05
Austin Creek,AUS 7,RR-AUS-015.94:018.53,EM JB ZS,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-05
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,BB DD TB,SS,2015,,99,CLEAR SUNNY,2 NEW REDDS NO FISH,2014-2015,2015-03-05
Kidd Creek,KID 1,RR-KID-000.00:001.67,BB DD TB,SS,2015,,99,CLEAR SUNNY,"1 NEW REDD NO FISH, YLF OBS.",2014-2015,2015-03-05
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,MW DD ZS,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-04
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,MW DD ZS,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-04
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,JB BW TB,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-04
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,AN SW,SS,2015,,99,CLEAR SUNNY,Lots of algae.,2014-2015,2015-03-04
Mill Creek,MIL 1,RR-MIL-000.00:002.46,BB DD,SS,2015,,99,CLEAR SUNNY,STAFF:2.7FT AT 10:30,2014-2015,2015-03-03
Felta Creek,FEL 1,RR-FEL-000.00:001.83,BB DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-03
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,JB AN,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-03
Mill Creek,MIL 4,RR-MIL-009.98:014.06,AN JB,SS,2015,,99,CLEAR SUNNY,NO FISH,2014-2015,2015-03-03
Grape Creek,GRP 1,RR-GRP-000.00:001.39,MW DD,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-10
Grape Creek,GRP 2,RR-GRP-001.39:002.49,MW DD,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-03-10
Wine Creek,WIN 1,RR-WIN-000.00:001.65,MW DD,SS,2015,,99,OVERCAST,No Fish  ,2014-2015,2015-03-10
Maacama Creek,MAA 4,RR-695-000.00:000.60,AN SW,SS,2015,,99,OVERCAST,NO NEW FISH NO REDDS. MAA4021815002 tailspill out of water. Saw two Western pond turtles.,2014-2015,2015-03-09
Mill Creek,MIL 1,RR-MIL-000.00:002.46,BB AB,SS,2015,,99,OVERCAST,,2014-2015,2015-03-16
Felta Creek,FEL 1,RR-FEL-000.00:001.83,BB AB,SS,2015,,99,OVERCAST,"DRY AT MOUTH, downstream of felta bridge",2014-2015,2015-03-16
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,JB IV,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-13
Pena Creek,PEN 1,RR-PEN-000.00:004.05,JB IV,SS,2015,,99,CLEAR SUNNY,RAN OUT OF FLAGGING SO SOME REDDS HAVE ONLY GPS POINT AND SOME ARE WRITTEN ON THE BACK OF OLD RED FLAGGING. WROTE ON WHITE BOARD.,2014-2015,2015-03-13
Pena Creek,PEN 3,RR-PEN-006.49:009.12,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-10
Pena Creek,PEN 4,RR-PEN-009.12:013.89,WB JB,SS,2015,,99,PARTLY CLOUDY,"Some redds seemed older, crew before possibly missed. Weather was all over, rain, sun, wind, clouds, overcast.",2014-2015,2015-03-11
Pena Creek,PEN 5,RR-PEN-013.89:017.04,SW DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-11
Woods Creek,WOO 1,RR-DEA-000.00:001.03,SW DD,SS,2015,,99,OVERCAST,,2014-2015,2015-03-11
Porter Creek,POR 3,RR-POR-004.65:006.83,JB DD,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-03-09
Porter Creek,POR 1,RR-POR-000.00:002.43,JB DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-09
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,DD SW,SS,2015,,99,OVERCAST,"No fish, no redds. No temps taken bc broken thermometer",2014-2015,2015-03-16
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,WB JB,SS,2015,,99,CLEAR SUNNY,Lamprey redds. No fish and no sal. Sp. Redds.,2014-2015,2015-03-10
Austin Creek,AUS 5,RR-AUS-009.86:012.13,AJ JB,SS,2015,,99,CLEAR SUNNY,"NO THERMOMETER, No Allegro, Transcribed from data sheet",2014-2015,2015-03-19
Austin Creek,AUS 6,RR-AUS-012.13:015.94,RH DD,SS,2015,,99,CLEAR SUNNY,Forgot to measure Redd and thalweg measurements,2014-2015,2015-03-19
Austin Creek,AUS 7,RR-AUS-015.94:018.53,RH DD,SS,2015,,99,CLEAR SUNNY,No fish no redds,2014-2015,2015-03-19
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,SW BW,SS,2015,,99,CLEAR SUNNY,No fish No redds,2014-2015,2015-03-19
Kidd Creek,KID 1,RR-KID-000.00:001.67,SW BW,SS,2015,,99,CLEAR SUNNY,No fish No redds,2014-2015,2015-03-19
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-20
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,BB DD,SS,2015,,99,CLEAR SUNNY,Coho carcasses from WSH were planted in the stream at the top of the reach ,2014-2015,2015-03-17
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,DD BB,SS,2015,,99,CLEAR SUNNY,More carcasses from WSH were planted in this reach,2014-2015,2015-03-17
Maacama Creek,MAA 4,RR-695-000.00:000.60,JB DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-23
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-18
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-18
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,LP DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-18
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,AB JB,SS,2015,,99,CLEAR SUNNY,"DID NOT HAVE ALLEGRO, USED NOTEBOOK AND ENTERED DATA IN ALLEGRO IN OFFICE",2014-2015,2015-03-18
Mill Creek,MIL 2,RR-MIL-003.03:005.75,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-17
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,AN SW,SS,2015,,99,CLEAR SUNNY,No Fish No Redds,2014-2015,2015-03-17
Mill Creek,MIL 3,RR-MIL-005.75:009.98,BW DD,SS,2015,,99,OVERCAST,,2014-2015,2015-03-20
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,BW DD,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-03-20
Mill Creek,MIL 4,RR-MIL-009.98:014.06,AN BB,SS,2015,,99,CLEAR SUNNY,No live fish,2014-2015,2015-03-19
Porter Creek,POR 1,RR-POR-000.00:002.43,WB SW,SS,2015,,99,PARTLY CLOUDY,"MOUTH CUT OFF, Dry for approx 200 meters. Upstream pools have lots of coho and steelhead smolts. ",2014-2015,2015-03-23
Porter Creek,POR 3,RR-POR-004.65:006.83,WB SW,SS,2015,,99,PARTLY CLOUDY,No fish no redds,2014-2015,2015-03-23
Redwood Creek,RED 1,RR-RED-000.00:001.66,AN RH,SS,2015,,99,PARTLY CLOUDY,"No live fish, no new redds",2014-2015,2015-03-23
Redwood Creek,RED 2,RR-RED-001.66:004.58,AN RH,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-23
Willow Creek,WIL 3,RR-WIL-003.49:006.15,JB JP,SS,2015,,99,CLEAR SUNNY,The redds in Willow4 from 2/23/15 were all age 3. this was the survey with Joe Pechrich,2014-2015,2015-03-17
Grape Creek,GRP 1,RR-GRP-000.00:001.39,JB BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-24
Grape Creek,GRP 2,RR-GRP-001.39:002.49,JB BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-03-24
Wine Creek,WIN 1,RR-WIN-000.00:001.65,JB BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO NEW REDDS,2014-2015,2015-03-24
Mill Creek,MIL 1,RR-MIL-000.00:002.46,AN VA,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-30
Felta Creek,FEL 1,RR-FEL-000.00:001.83,VA AN,SS,2015,,99,PARTLY CLOUDY,NO LIVE FISH/NO NEW REDDS/PICTURES TAKEN OF MOUTH BARELY CONNECTED,2014-2015,2015-03-30
Mill Creek,MIL 2,RR-MIL-003.03:005.75,DD VA,SS,2015,,99,CLEAR SUNNY,NO NEW REDDS,2014-2015,2015-03-26
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,DD VA,SS,2015,,99,CLEAR SUNNY,MOUTH IMPASSABLE,2014-2015,2015-03-26
Mill Creek,MIL 3,RR-MIL-005.75:009.98,SW DD,SS,2015,,99,CLEAR SUNNY,"No fish No Redds, broken thermometer, no temps taken",2014-2015,2015-03-30
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,DD SW,SS,2015,,99,CLEAR SUNNY,"No fish No Redds, broken thermometer, no temps taken",2014-2015,2015-03-30
Mill Creek,MIL 4,RR-MIL-009.98:014.06,BW AJ,SS,2015,,99,CLEAR SUNNY,"No Fish, No new redds",2014-2015,2015-03-30
Pena Creek,PEN 1,RR-PEN-000.00:004.05,BW LP,SS,2015,,-9999,CLEAR SUNNY,,2014-2015,2015-03-26
Pena Creek,PEN 3,RR-PEN-006.49:009.12,AJ DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-25
Pena Creek,PEN 4,RR-PEN-009.12:013.89,"JB,ZS,CR",SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-25
Pena Creek,PEN 5,RR-PEN-013.89:017.04,SW AN,SS,2015,,99,CLEAR SUNNY,No Fish No Redds,2014-2015,2015-03-25
Woods Creek,WOO 1,RR-DEA-000.00:001.03,AN SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-03-25
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,JE DD,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-03-24
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,AN SW,SS,2015,,99,OVERCAST,No fish No Redds,2014-2015,2015-03-24
Austin Creek,AUS 5,RR-AUS-009.86:012.13,AN VA,SS,2015,,99,CLEAR SUNNY,"No new redds, or live fish",2014-2015,2015-04-02
Austin Creek,AUS 6,RR-AUS-012.13:015.94,SW TB,SS,2015,,99,CLEAR SUNNY,"Flag missing, rehung flag, No fish No redds",2014-2015,2015-04-02
Austin Creek,AUS 7,RR-AUS-015.94:018.53,SW TB,SS,2015,,99,CLEAR SUNNY,"Flag missing, rehung flag, No fish No redds",2014-2015,2015-04-02
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,JB ZS,SS,2015,,99,CLEAR SUNNY,"No fish, no new redds",2014-2015,2015-04-02
Kidd Creek,KID 1,RR-KID-000.00:001.67,JB ZS,SS,2015,,99,CLEAR SUNNY,"No fish, no new redds",2014-2015,2015-04-02
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,DD CM,SS,2015,,99,CLEAR SUNNY,"THERMOMETER BROKEN, a couple old redds observed throughout the reach- not recorded in the survey data ",2014-2015,2015-03-31
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,WB VA,SS,2015,,99,CLEAR SUNNY,LOTS OF YOY AND ALGAE ,2014-2015,2015-03-31
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,WB VA,SS,2015,,99,CLEAR SUNNY,NO FISH OR REDDS/LOTS OF YOY AND ALGAE,2014-2015,2015-03-31
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,VA ZR,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-04-01
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,ZR VA,SS,2015,,99,CLEAR SUNNY,no new fish or redds,2014-2015,2015-04-01
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,AN SW,SS,2015,,99,CLEAR SUNNY,"No new redds, no live fish",2014-2015,2015-04-01
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,JE DD,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-04-01
Willow Creek,WIL 3,RR-WIL-003.49:006.15,AB JE,SS,2015,,99,WINDY,NO FISH NO REDDS,2014-2015,2015-03-31
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,ZR VA,SS,2015,,99,CLEAR SUNNY,"LAST SURVEY OF SEASON. NO NEW REDDS, NO NEW FISH.",2014-2015,2015-04-15
Grape Creek,GRP 1,RR-GRP-000.00:001.39,DD SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-04-08
Grape Creek,GRP 2,RR-GRP-001.39:002.49,SW DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-04-08
Wine Creek,WIN 1,RR-WIN-000.00:001.65,DD SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-04-08
Maacama Creek,MAA 4,RR-695-000.00:000.60,VA AN,SS,2015,,99,OVERCAST,NO LIVE FISH. RENTER FROM 6861 WANTS TO BE NOTIFIED WEEK OF SURVEYS,2014-2015,2015-04-06
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,AN RH,SS,2015,,99,CLEAR SUNNY,No live fish or new redds. Scary dogs on river right towards middle to end of reach. Came down to creek and were threatening. Contact landowner?,2014-2015,2015-04-15
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,AN RH,SS,2015,,99,CLEAR SUNNY,"No live fish or redds. Potential grow site. Took photos, will send to NB.",2014-2015,2015-04-15
Mill Creek,MIL 1,RR-MIL-000.00:002.46,BW RH,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-04-13
Mill Creek,MIL 2,RR-MIL-003.03:005.75,AN VA,SS,2015,,99,OVERCAST,"LAST SURVEY OF SEASON. NO NEW REDDS. MIL2012115001 FLAG FADED IN FIELD, ENTERED ONCE WE GOT BACK TO OFFICE (LAST REDD RECORD).",2014-2015,2015-04-13
Mill Creek,MIL 3,RR-MIL-005.75:009.98,DD RH,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-04-14
Mill Creek,MIL 4,RR-MIL-009.98:014.06,ZS SW,SS,2015,,99,CLEAR SUNNY,No fish No redds,2014-2015,2015-04-14
Pena Creek,PEN 1,RR-PEN-000.00:004.05,LP HF,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-04-13
Pena Creek,PEN 3,RR-PEN-006.49:009.12,VA HF,SS,2015,,99,PARTLY CLOUDY,"LAST SURVEY OF SEASON. NO NEW REDDS/NO LIVE FISH. UNABLE TO VIEW MULTIPLE GPS POINTS WHEN THEY WERE ASSOCIATED WITH THE SAME RIVER KILOMETER MARKER, DISCUSSED ISSUE WITH ANDREW.",2014-2015,2015-04-09
Pena Creek,PEN 4,RR-PEN-009.12:013.89,WB RH,SS,2015,,99,CLEAR SUNNY,NO FISH OR NEW REDDS,2014-2015,2015-04-09
Pena Creek,PEN 5,RR-PEN-013.89:017.04,DD SW,SS,2015,,99,CLEAR SUNNY,No fish No redds,2014-2015,2015-04-09
Woods Creek,WOO 1,RR-DEA-000.00:001.03,SW DD,SS,2015,,99,CLEAR SUNNY,No fish No redds,2014-2015,2015-04-09
Porter Creek,POR 3,RR-POR-004.65:006.83,JB ZS,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-04-06
Porter Creek,POR 1,RR-POR-000.00:002.43,JB ZS,SS,2015,,99,CLEAR SUNNY,NO FISH NO NEW REDDS. DISCONECTED ~200M,2014-2015,2015-04-06
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,VA ZR,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-04-08
Redwood Creek,RED 1,RR-RED-000.00:001.66,DD SW,SS,2015,,99,OVERCAST,"One new redd, no fish",2014-2015,2015-04-06
Redwood Creek,RED 2,RR-RED-001.66:004.58,DD SW,SS,2015,,99,PARTLY CLOUDY,"No redds, No fish",2014-2015,2015-04-06
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,AN JE,SS,2015,,99,PARTLY CLOUDY,"STAFF 1.52. No live fish, no new redds",2014-2015,2015-04-08
Willow Creek,WIL 3,RR-WIL-003.49:006.15,AB VA,SS,2015,,99,WINDY,"Final survey of season, took record of all redds. 122914003 redd was misflagged in field as 120814002. 120814002 correct flag was still hung at uppermost redd on reach. ",2014-2015,2015-04-14
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,SL TC,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-04
MARK WEST CREEK,MAR 11,RR-MAR-030.60:033.75,JD SW,SS,2016,1,2,CLEAR SUNNY,ALLEGRO FAIL REACH NAME AND FRAME DIDN'T HAVE A DROP DOWN. NO FISH NO REDDS,2015-2016,2016-02-08
MARK WEST CREEK,MAR 12,RR-MAR-033.75:037.32,TC JR,SS,2016,1,99,CLEAR SUNNY,"ALLEGRO FAIL, PAPER DATA",2015-2016,2016-02-08
MARK WEST CREEK,MAR 9,RR-MAR-024.34:027.19,ZR DD,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-08
PORTER CREEK (MWC),MPO 1,RR-MPO-000.00:002.65,ZR DD,SS,2016,1,2,CLEAR SUNNY,,2015-2016,2016-02-08
MILL CREEK,MIL 1,RR-MIL-000.00:002.46,ZR AI,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-04
MILL CREEK,MIL1.5,RR-MIL-002.46:003.03,ZR AI,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-04
MILL CREEK,MIL 2,RR-MIL-003.03:005.75,DD AP,SS,2016,1,99,OVERCAST,NO FISH,2015-2016,2016-02-05
MILL CREEK,MIL 3,RR-MIL-005.75:009.98,LP BS,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-04
WALLACE CREEK,WAL 2,RR-WAL-001.83:004.43,BS LP,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-04
MILL CREEK,MIL 4,RR-MIL-009.98:014.06,NB JD,SS,2016,1,99,PARTLY CLOUDY,,2015-2016,2016-02-04
MILL CREEK,MIL 5,RR-MIL-014.06:015.54,NB JD,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-04
PORTER CREEK,POR 1,RR-POR-000.00:002.43,AB JD,SS,2016,1,99,OVERCAST,FORM OUTDATED. SKIN AND JAW FOUND.,2015-2016,2016-02-05
HULBERT CREEK,HUL 3,RR-HUL-005.16:007.20,AB JD,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-05
PORTER CREEK,POR 2,RR-POR-002.43:004.65,WB DP LP,SS,2016,1,99,OVERCAST,,2015-2016,2016-02-05
GREEN VALLEY CREEK,GRE 2,RR-GRE-012.49:016.09,WB SW,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-09
NUTTY VALLEY CREEK,GRE 2,RR-NUT-000.00:000.94,WB SW,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-09
HARRISON CREEK,GRE 2,RR-HAR-000.00:000.23,WB SW,SS,2016,1,99,CLEAR SUNNY,"NO FISH NO REDDS, No GPS taken",2015-2016,2016-02-09
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,SL TC,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-04
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,TC SL,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-04
PRESS CREEK,POR 3,RR-PRE-000.00:000.59,WB LP DP,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-05
PORTER CREEK,POR 3,RR-POR-004.65:006.83,WB LP DP,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-05
PURRINGTON CREEK,PUR 1,RR-PUR-000.00:004.50,TC MH,SS,2016,1,1,CLEAR SUNNY,"CHANGE START TIME TO 9:07 (Done, AJ)",2015-2016,2016-02-09
WILLOW CREEK,WIL 3,RR-WIL-003.49:006.15,NB NO,SS,2016,1,1.3,CLEAR SUNNY,FOUND a MIS-SPELLED FLAG THAT WAS NOT AGED. WE RECORDED IT AS AGE 4 AND TIED KNOT,2015-2016,2016-02-05
WILLOW CREEK,WIL 4,RR-WIL-006.15:009.16,SL ZR AAL,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-05
AUSTIN CREEK,AUS 5,RR-AUS-009.86:012.13,JD AI,SS,2016,1,99,PARTLY CLOUDY,,2015-2016,2016-02-10
EAST AUSTIN CREEK,EAU 1,RR-EAU-000.00:002.00,AI JD,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-02-10
AUSTIN CREEK,AUS 6,RR-AUS-012.13:015.94,WB SW AL,SS,2016,1,99,PARTLY CLOUDY,Broodstock coho obsereved!,2015-2016,2016-02-10
DUTCH BILL CREEK,DUT 1,RR-DUT-000.00:004.81,JD SL,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-02-17
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,JD SL,SS,2016,1,99,SHOWERS,NO FISH NO REDDS,2015-2016,2016-02-17
DUTCH BILL CREEK,DUT 2,RR-DUT-004.81:009.04,TC SW AL,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-02-17
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,TC SW AL,SS,2016,1,99,SHOWERS,NO FISH NO REDDS,2015-2016,2016-02-17
GILLIAM CREEK,GIL 1,RR-GIL-000.00:002.32,JR DD,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-02-10
SCHOOLHOUSE CREEK,GIL 1,RR-SCH-000.00:001.00,JR DD,SS,2016,1,99,PARTLY CLOUDY,NO FISH-Manually entered Redd data in the office.Trip drop-down malfuction.,2015-2016,2016-02-10
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,ZR SL,SS,2016,1,3,CLEAR SUNNY,,2015-2016,2016-02-10
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,SL ZR,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-10
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,ZR SL,SS,2016,1,3,CLEAR SUNNY,,2015-2016,2016-02-10
MILL CREEK,MIL 1,RR-MIL-000.00:002.46,LP MOH,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-11
FELTA CREEK,FEL 1,RR-FEL-000.00:001.83,LP MOH,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-11
MILL CREEK,MIL1.5,RR-MIL-002.46:003.03,MOH LP,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-11
MILL CREEK,MIL 2,RR-MIL-003.03:005.75,SL DD SB,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-11
MILL CREEK,MIL 3,RR-MIL-005.75:009.98,NB SW,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-11
WALLACE CREEK,WAL 2,RR-WAL-001.83:004.43,NB SW,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-11
PALMER CREEK,PAL 1,RR-PAL-000.00:002.75,WB AI,SS,2016,1,99,CLEAR SUNNY,NO FISH,2015-2016,2016-02-11
MILL CREEK,MIL 4,RR-MIL-009.98:014.06,WB AI,SS,2016,1,99,CLEAR SUNNY,NO FISH,2015-2016,2016-02-11
MILL CREEK,MIL 5,RR-MIL-014.06:015.54,WB AI,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-11
PENA CREEK,PEN 1,RR-PEN-000.00:004.05,SL WB SB,SS,2016,1,99,CLEAR SUNNY,SOOOOOO MANY REDDS,2015-2016,2016-02-16
PENA CREEK,PEN 3,RR-PEN-006.49:009.12,SW JD,SS,2016,1,99,CLEAR SUNNY,Water is getting low,2015-2016,2016-02-16
PENA CREEK,PEN 4,RR-PEN-009.12:013.89,TC LP,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-16
PENA CREEK,PEN 5,RR-PEN-013.89:017.04,DD AI,SS,2016,1,99,PARTLY CLOUDY,NO FISH,2015-2016,2016-02-16
WOODS CREEK,WOO 1,RR-WOO-000.00:003.80,DD AI,SS,2016,1,99,PARTLY CLOUDY,RES TROUT ON RIFFLE,2015-2016,2016-02-16
DEAD COYOTE CREEK,WOO 1,RR-DEA-000.00:001.03,DD AI,SS,2016,1,99,PARTLY CLOUDY,A COUPLE OLD REDDS IN R,2015-2016,2016-02-16
PORTER CREEK,POR 1,RR-POR-000.00:002.43,NB DD,SS,2016,1,99,OVERCAST,FISH SKIN PIECE OBSERVED,2015-2016,2016-02-17
HULBERT CREEK,HUL 3,RR-HUL-005.16:007.20,DD NB,SS,2016,1,99,SHOWERS,SUCKER AND FISH SKIN OBSERVED,2015-2016,2016-02-17
PORTER CREEK,POR 2,RR-POR-002.43:004.65,ZR JR,SS,2016,1,99,OVERCAST,multiple test diggs throughout reach. ,2015-2016,2016-02-17
EAST AUSTIN CREEK,EAU 1,RR-EAU-000.00:002.00,WB DD,SS,2015,1,1,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2015-12-07
MARK WEST CREEK,MAR 11,RR-MAR-030.60:033.75,TC DD,SS,2015,1,1.3,OVERCAST,No fish or redds observed,2015-2016,2015-12-08
MARK WEST CREEK,MAR 12,RR-MAR-033.75:037.32,ZR JD,SS,2015,1,0.3,OVERCAST,Poor visibility due to high tannins.,2015-2016,2015-12-08
MARK WEST CREEK,MAR 9,RR-MAR-024.34:027.19,WB MOH,SS,2015,1,1,OVERCAST,NO FISH NO REDDS,2015-2016,2015-12-08
AUSTIN CREEK,AUS 5,RR-AUS-009.86:012.13,WB DD,SS,2015,1,1.5,SHOWERS,No fish or redds observed.,2015-2016,2015-12-09
AUSTIN CREEK,AUS 6,RR-AUS-012.13:015.94,ZR SW LP,SS,2015,1,99,STEADY RAIN,NO FISH NO REDDS,2015-2016,2015-12-09
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,NB SW,SS,2015,1,-9999,CLEAR SUNNY,NO FISH NO REDDS LOW WATER SHORT REACH,2015-2016,2015-12-15
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,NB SW,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS LOW WATER EXTENTED REACH TO CULVERT,2015-2016,2015-12-15
DUTCH BILL CREEK,DUT 1,RR-DUT-000.00:004.81,WB AI,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-15
